Date,Rating
2011-09-11,1986
2011-07-31,1997
2011-07-24,2018
2011-07-16,2013
2011-07-09,2001
2011-07-04,1994
2011-06-29,1993
2011-06-19,2015
2011-06-18,1991
2011-06-12,1997
2011-06-11,1980
2011-06-10,1974
2011-06-05,1978
2011-06-03,1957
2011-05-28,1958
2011-05-27,1927
2011-05-26,1922
2011-05-20,1923
2011-05-15,1909
2011-05-13,1943
2011-05-06,1941
2011-05-01,1945
2011-04-29,1947
2011-04-24,1935
2011-04-20,1966
2011-04-17,1964
2011-04-16,1932
2011-04-15,1948
2011-04-10,1943
2011-04-02,1961
2011-04-01,1945
2011-03-27,1938
2011-03-25,1920
2011-03-20,1918
2011-03-19,1925
2011-03-18,1933
2011-03-13,1926
2011-03-13,1924
2011-03-12,1932
2011-03-06,1924
2011-03-04,1933
2011-02-27,1921
2011-02-26,1904
2011-02-25,1909
2011-02-21,1898
2011-02-13,1913
2011-02-06,1939
2011-01-30,1935
2011-01-29,1907
2011-01-23,1918
2011-01-21,1900
2011-01-17,1897
2011-01-17,1890
2011-01-08,1906
2011-01-02,1895
2010-12-19,1894
2010-12-12,1871
2010-12-03,1815
2010-11-28,1821
2010-11-24,1823
2010-11-21,1804
2010-11-19,1813
2010-11-14,1816
2010-11-07,1826
2010-10-16,1848
2010-10-10,1855
2010-10-09,1851
2010-10-08,1849
2010-10-01,1842
2010-09-26,1841
2010-09-24,1808
2010-09-19,1797
2010-09-18,1806
2010-09-17,1825
2010-09-12,1821
2010-09-11,1816
2010-09-10,1812
2010-09-08,1806
2010-09-04,1789
2010-08-29,1788
2010-08-28,1786
2010-08-27,1795
2010-08-22,1789
2010-08-20,1786
2010-08-13,1769
2010-08-08,1765
2010-08-06,1760
2010-08-01,1755
2010-07-31,1733
2010-07-31,1726
2010-07-28,1719
2010-07-18,1695
2010-07-16,1735
2010-07-16,1740
2010-07-11,1731
2010-07-05,1708
2010-06-30,1721
2010-06-30,1726
2010-06-26,1721
2010-06-19,1735
2010-06-13,1745
2010-06-12,1748
2010-06-11,1717
2010-06-06,1733
2010-05-31,1751
2010-05-28,1799
2010-05-23,1811
2010-05-21,1793
2010-05-16,1800
2010-05-14,1788
2010-05-08,1802
2010-05-07,1745
2010-05-02,1718
2010-04-30,1707
2010-04-25,1700
2010-04-24,1624
2010-04-23,1634
2010-04-18,1639
2010-04-16,1643
2010-04-11,1660
2010-04-09,1640
2010-04-04,1647
2010-03-31,1693
2010-03-28,1718
2010-03-20,1715
2010-03-19,1638
2010-03-14,1649
2010-03-13,1659
2010-03-13,1664
2010-03-05,1664
2010-02-28,1665
2010-02-27,1666
2010-02-24,1679
2010-02-21,1658
2010-02-19,1643
2010-02-15,1614
2010-02-07,1645
2010-02-04,1657
2010-01-30,1648
2010-01-29,1627
2010-01-24,1622
2010-01-23,1626
2010-01-22,1605
2010-01-18,1597
2010-01-16,1537
2010-01-15,1558
2010-01-10,1577
2010-01-09,1589
2010-01-03,1616
2010-01-02,1542
2009-12-30,1535
2009-12-27,1499
2009-12-26,1480
2009-12-19,1481
2009-12-13,1504
2009-12-05,1467
2009-11-22,1513
2009-11-21,1503
2009-11-15,1495
2009-11-14,1531
2009-11-07,1534
2009-10-31,1497
2009-10-24,1440
2009-10-10,1466
2009-10-03,1397
2009-09-26,1344
2009-09-20,1349
2009-09-13,1350
2009-09-12,1348
2009-09-07,1373
2009-09-07,1386
2009-08-29,1288
2009-08-23,1284
2009-08-22,1331
2009-08-16,1344
2009-08-15,1293
2009-08-09,1262
2009-08-02,1261
2009-08-01,1263
2009-07-26,1324
2009-07-19,1212
2009-07-05,1214
2009-06-28,1196
2009-06-21,1263
2009-06-14,1313
2009-06-07,1354
2009-06-06,1328
2009-05-25,1332
2009-05-25,1320
2009-05-16,1162
2009-05-10,1111
2009-05-02,1147
2009-04-26,1078
2009-04-25,1100
2009-04-18,1000
2009-04-12,1046
2009-04-05,1116
2009-03-29,1021
2009-03-21,1033
2009-03-15,939
2009-03-14,941
2009-03-08,958
2009-03-01,964
2009-02-22,1033
2009-02-21,998
2009-02-08,993
2009-02-07,805
2009-01-25,781
2009-01-24,777
2009-01-19,762
2009-01-17,737
2009-01-03,705
2008-12-21,631
2008-12-14,538
2008-12-06,549
2008-11-30,476
2008-11-23,493
