Date,Rating
2020-07-26,2583
2020-03-08,2612
2020-02-23,2611
2020-02-09,2592
2020-01-25,2569
2019-12-31,2568
2019-09-02,2569
2019-08-25,2573
2019-08-18,2544
2019-08-10,2538
2019-07-31,2537
2019-07-20,2531
2019-06-30,2530
2019-06-23,2517
2019-06-16,2527
2019-03-17,2525
2019-03-10,2530
2019-01-07,2527
2018-12-30,2512
2018-11-21,2514
2018-09-03,2504
2018-08-21,2496
2018-08-15,2509
2018-07-31,2522
2018-07-21,2505
2018-06-19,2496
2018-06-09,2479
2018-05-22,2480
2018-04-29,2495
2018-04-01,2495
2018-03-25,2488
2018-03-04,2482
2018-02-18,2474
2018-01-28,2472
2018-01-15,2471
2018-01-07,2455
2017-12-30,2465
2017-12-10,2495
2017-11-26,2514
2017-11-19,2519
2017-10-09,2522
2017-09-04,2518
2017-08-16,2501
2017-08-06,2491
2017-08-01,2490
2017-05-29,2478
2017-05-14,2476
2017-04-23,2480
2017-04-21,2480
2017-04-16,2477
2017-03-26,2478
2017-03-19,2481
2017-03-12,2483
2017-03-03,2481
2017-02-26,2478
2017-02-12,2479
2017-02-05,2489
2017-01-16,2502
2016-12-18,2510
2016-12-04,2516
2016-11-13,2514
2016-11-11,2511
2016-11-06,2524
2016-10-16,2521
2016-10-10,2517
2016-10-02,2510
2016-09-11,2509
2016-08-17,2508
2016-08-11,2487
2016-07-31,2468
2016-07-27,2468
2016-07-10,2457
2016-07-04,2443
2016-06-26,2432
2016-06-19,2427
2016-06-12,2424
2016-05-30,2424
2016-05-22,2406
2016-05-08,2412
2016-04-30,2412
2016-04-23,2420
2016-04-16,2411
2016-04-09,2417
2016-03-27,2422
2016-03-13,2424
2016-03-06,2443
2016-02-28,2441
2016-02-27,2432
2016-02-15,2439
2016-01-30,2445
2016-01-18,2436
2015-12-19,2411
2015-11-29,2407
2015-11-15,2402
2015-10-11,2399
2015-09-20,2400
2015-08-13,2398
2015-07-26,2433
2015-07-19,2424
2015-07-05,2422
2015-06-30,2431
2015-06-07,2437
2015-05-30,2429
2015-05-16,2424
2015-05-10,2421
2015-05-03,2409
2015-04-26,2409
2015-04-12,2376
2015-04-05,2370
2015-03-22,2361
2015-03-15,2342
2015-03-01,2325
2015-02-16,2320
2015-02-08,2317
2015-01-25,2318
2015-01-19,2303
2014-12-28,2287
2014-12-20,2293
2014-11-30,2297
2014-11-09,2299
2014-10-05,2298
2014-09-01,2284
2014-08-23,2281
2014-08-14,2277
2014-07-06,2261
2014-06-27,2290
2014-06-16,2273
2014-06-08,2286
2014-05-31,2297
2014-05-18,2294
2014-04-26,2284
2014-04-20,2288
2014-03-16,2285
2014-03-09,2282
2014-03-08,2280
2014-02-23,2277
2014-02-17,2271
2014-02-09,2263
2014-02-02,2266
2014-01-26,2253
2014-01-20,2264
2014-01-12,2252
2014-01-11,2254
2014-01-05,2261
2013-12-28,2255
2013-12-22,2239
2013-12-01,2234
2013-11-24,2245
2013-11-23,2243
2013-10-20,2230
2013-10-06,2216
2013-09-29,2217
2013-09-15,2218
2013-09-02,2227
2013-08-24,2223
2013-08-18,2233
2013-08-11,2236
2013-08-04,2233
2013-07-28,2222
2013-07-27,2238
2013-07-20,2244
2013-07-14,2241
2013-06-30,2253
2013-06-23,2239
2013-06-02,2233
2013-05-27,2223
2013-05-19,2239
2013-05-12,2226
2013-04-21,2235
2013-04-14,2232
2013-03-31,2223
2013-03-16,2227
2013-02-18,2226
2013-02-10,2231
2013-01-21,2225
2013-01-13,2223
2012-12-30,2215
2012-12-22,2216
2012-12-02,2206
2012-11-24,2209
2012-11-19,2207
2012-10-28,2232
2012-10-27,2227
2012-10-21,2229
2012-10-13,2215
2012-10-07,2209
2012-09-22,2205
2012-09-03,2192
2012-08-19,2178
2012-08-19,2148
2012-08-07,2167
2012-07-29,2131
2012-07-22,2101
2012-07-14,2090
2012-07-08,2089
2012-07-01,2097
2012-06-27,2109
2012-06-15,2088
2012-06-10,2099
2012-06-03,2105
2012-05-28,2076
2012-05-28,2076
2012-05-20,2102
2012-05-04,2105
2012-05-04,2099
2012-04-27,2098
2012-04-21,2093
2012-04-20,2051
2012-04-13,2049
2012-04-08,2046
2012-03-30,2041
2012-03-30,2043
2012-03-18,2047
2012-03-16,2043
2012-03-10,2034
2012-03-04,2041
2012-02-26,2002
2012-02-25,1999
2012-02-24,1982
2012-02-20,1983
2012-02-17,1957
2012-02-12,1964
2012-02-10,1960
2012-02-04,1977
2012-01-29,1984
2012-01-28,1986
2012-01-17,1996
2012-01-16,1980
2012-01-08,1975
2011-12-29,1972
2011-12-23,1980
2011-12-18,1977
2011-12-11,1988
2011-12-10,1990
2011-12-04,2006
2011-12-04,2031
2011-12-02,2027
2011-12-02,2025
2011-11-27,2029
2011-11-25,2027
2011-11-25,2038
2011-11-20,2029
2011-11-11,2031
2011-11-11,2029
2011-11-10,2026
2011-11-06,2017
2011-10-30,2015
2011-10-28,1970
2011-10-23,1969
2011-10-16,1992
2011-10-14,2010
2011-10-09,2009
2011-09-30,2007
2011-09-24,2005
2011-09-23,2001
2011-09-16,1992
