,Date,Rating
2,2020-03-08,2209
4,2020-02-29,2204
6,2020-02-17,2223
8,2019-08-25,2198
10,2019-07-31,2207
11,2019-07-20,2189
13,2019-03-17,2177
15,2019-03-10,2176
16,2019-02-24,2200
18,2018-12-30,2205
19,2018-12-14,2201
20,2018-12-09,2196
21,2018-10-08,2184
24,2018-08-26,2194
25,2018-07-22,2164
27,2018-06-17,2152
28,2018-05-28,2142
29,2018-04-29,2140
31,2018-04-01,2166
32,2018-03-25,2181
33,2018-03-04,2164
34,2017-12-30,2183
35,2017-10-09,2186
36,2017-08-27,2170
37,2017-07-04,2171
38,2017-06-18,2154
39,2017-05-21,2167
40,2017-05-14,2175
41,2017-04-23,2169
42,2017-03-26,2162
43,2017-03-12,2172
44,2017-02-26,2170
45,2016-12-30,2174
46,2016-12-18,2154
47,2016-11-27,2170
48,2016-11-06,2191
49,2016-10-10,2181
50,2016-10-02,2088
51,2016-09-05,2096
52,2016-08-28,2087
53,2016-07-31,2076
54,2016-07-04,2098
55,2016-06-19,2110
56,2016-06-12,2101
57,2016-06-10,2095
58,2016-06-10,2096
59,2016-05-30,2112
60,2016-05-22,2122
61,2016-05-01,2119
62,2016-04-17,2106
63,2016-04-09,2108
64,2016-03-20,2139
65,2016-03-06,2124
66,2016-02-21,2121
67,2016-02-15,2129
68,2016-01-31,2128
69,2016-01-18,2122
71,2015-12-29,2113
72,2015-12-12,2097
73,2015-11-20,2099
74,2015-11-08,2084
75,2015-10-23,2089
76,2015-10-12,2100
77,2015-09-13,2072
78,2015-09-11,2052
79,2015-08-30,2042
80,2015-08-13,2041
81,2015-08-02,2033
82,2015-07-24,2003
83,2015-07-24,2015
84,2015-06-30,2002
85,2015-05-25,1992
86,2015-05-25,2002
87,2015-05-08,1963
88,2015-05-03,1954
89,2015-04-26,1943
90,2015-04-12,1918
91,2015-03-22,1927
92,2015-03-08,1910
93,2015-02-08,1962
94,2015-01-24,1967
95,2015-01-11,1986
96,2014-12-14,1988
97,2014-11-30,1969
98,2014-11-02,1979
99,2014-10-13,1984
100,2014-09-20,1929
101,2014-08-24,1897
102,2014-08-03,1893
105,2014-07-20,1887
106,2014-07-06,1886
107,2014-06-29,1867
108,2014-06-21,1872
109,2014-04-27,1853
110,2014-03-29,1848
111,2014-03-16,1810
112,2014-01-12,1811
113,2013-12-15,1816
114,2013-12-08,1849
115,2013-11-10,1844
116,2013-10-14,1854
117,2013-09-28,1862
118,2013-09-01,1823
121,2013-08-04,1796
122,2013-07-07,1745
123,2013-05-25,1629
124,2013-05-25,1622
125,2013-05-12,1608
126,2013-05-12,1601
127,2013-04-21,1510
128,2013-04-21,1489
129,2013-03-10,1334
130,2013-02-10,1337
131,2012-12-09,1350
132,2012-11-24,1296
133,2012-11-11,1238
134,2012-10-27,1253
135,2012-03-18,1158
136,2012-02-04,1204
137,2012-01-15,1243
138,2011-12-10,1135
139,2011-06-25,1125
140,2011-06-18,1129
141,2011-01-15,1089
142,2010-10-09,1122
143,2010-09-11,1108
144,2010-07-31,1114
145,2010-07-24,1138
146,2010-06-26,1180
147,2010-04-11,950
148,2010-01-17,874
149,2009-12-12,773
150,2009-10-24,787
151,2009-03-28,539
152,2009-01-17,521
153,2008-07-26,500
